3, 1, 6, 2, 5;0;0.141496
2, 4;1;0.479100
3, 4, 1;2;0.634323
6, 2, 4;3;0.296494
3, 2, 5, 1;4;0.732159
3, 0, 6, 2, 1;5;0.151455
3, 4, 35, 34, 5;6;0.370699
8;7;0.080089
34, 35, 11, 7;8;0.532503
34, 10, 11;9;0.630847
35, 11, 33, 9, 6, 8;10;0.260412
34, 9, 8, 10;11;0.664044
35, 33, 36;14;0.466561
29, 24, 32, 17, 31;15;0.399872
25;16;0.012094
24, 20, 31, 30;17;0.656440
15, 19, 20, 30, 31;18;0.105567
31, 20, 30, 32;19;0.518213
19, 32, 18, 23, 31;20;0.475137
22, 19, 20, 24, 31;21;0.089622
21, 19, 20, 24, 31;22;0.083608
21, 19, 22, 20, 24, 31;23;0.167554
15, 29, 32, 17, 31;24;0.339092
31, 30, 23, 29;25;0.211764
28, 29;26;0.172987
28, 33, 25, 24, 26, 30;27;0.316860
26, 29, 27;28;0.471437
17, 26, 28, 25;29;0.610236
17, 24, 31, 15;30;0.684630
17, 24, 30, 32;31;0.780172
31, 30, 15;32;0.577463
35, 14, 11, 9, 6, 8;33;0.198411
35, 9, 8, 11;34;0.532469
6, 34, 8, 36;35;0.629820
35, 14;36;0.540165
